english,luganda,source
What should be done to support the tourism sector in Uganda?,Kiki ekirina okukolebwa okuwagira ekitongole ky'eby'obulambuzi mu Uganda?,kambale
Talents are nurtured and they grow with continued practice.,Ebitone bikulaakulanyizibwa era ne bikula nga weegezaamu entakera.,kambale
The board of governors met to discuss the penalties for the student rioters.,Akakiiko akakulembeze kaasisinkana okukubanganya ebirowoozo ku ngassi z'abayizi abeekalakaasa.,kambale
There were no supporters to cheer for our team during the netball game.,Ttiimu yaffe ey'okubaka teyabadde na bawagizi.,kambale
We are aware of the work going on in Kiboga.,Tumanyi omulimu ogugenda mu maaso e Kiboga.,kambale
The museum attracts tourists.,Etterekero ly'ebyafaayo lisikiriza abalambuzi.,kambale
He has been crowned King of that kingdom.,Yatikkirwa okuba kabaka w'obwakabaka obwo.,kambale
Leaders should be requested to account for the funds they received.,Abakulembeze balina okusabibwa okuwa embalirira y'ebintu ebibaweebwa.,kambale
Some couples are very romantic during courtship.,Abantu abamu balagangana nnyo omukwano nga boogerezeganya.,kambale
Museveni was joined by other government officials like Chief Justice Bart Katureebe Rebecca Kadaga.,Museveni yeegattibwako ebikonge bya gavumenti ebirala nga Ssaabalamuzi Bart Katureebe ne Rebecca Kdaga.,kambale
Am a lieutenant and have never been a general.,Ndi lotoonanti era sibeerangako generaali.,kambale
The new board of directors for Soroti referral hospital have been inaugurated.,Olukiiko olw'oku ntikko oluggya olw'eddwaliro ekkulu e Soroti lulayiziddwa.,kambale
Some people are changing their names nowadays because there is no law against it.,Abantu abamu ennaku zino bakyusa amannya gaabwe olw'okuba tewali tteeka likigaana.,kambale
Unity brings about economic development due to stability.,Obumu buleeta enkukulaakuna mu byenfuna olw'obutebenkevu.,kambale
Vegetable oil production is an example of value addition to agricultural produce.,Okuggya butto mu nva endiirwa kyakulabirako ky'okwongera omutindo ku makungula.,kambale
The technology links and connects people to different businesses.,Tekinologiya ayunga n'okugattta abantu ku bizinensi ez'enjawulo.,kambale
She has more issues to solve.,Alina ensonga nnyingi ez'okugonjoola.,kambale
There are six candidates in the race for president.,Abantu mukaaga be beesimbyewo ku kifo ky'obwa pulezidenti.,kambale
This is how cakes are made.,Eno ye ngeri y'okukolamu keeki.,kambale
During the riot a stray bullet hit a child in the head.,Mu kwekalakaasa essasi lyawaba ne likuba omwana ku mutwe.,kambale
We have completed the registration process of our company.,Tumaze okuwandiisa kampuni yaffe.,kambale
Students in candidate classes go for a vacation after sitting for their national examinations.,Abayizi abali mu bibiina ebyakamalirizo bagenda mu luwummula oluvannyuma lw'okutuula ebibuuzo byabwe eby'eggwanga lyonna.,kambale
Malaria has become an extremely dangerous disease,Omusujja gw'ensiri gufuukidde ddala gwa bulabe,kambale
Sarah Ngororana described working on the milestone issue as an honor.,Sarah Ngororano yalaze ng'okukola ku muzingo ogusembayo bwe kiri ekyekitiibwa.,kambale
Police officers have to follow commands as given by their superiors.,Abakungu ba poliisi balina okugoberera ebiragiro ebibaweebwa ababakulira.,kambale
She confronted him with evidence that he cheated on her with another woman.,Yamwengaanga era n'amulaga obukakafu nti yayenda ku mukazi omulala.,kambale
It was a powerful insight but one which also goes the other way.,Kye yayogera kikulu naye era kikwata ne ku ludda olulala.,kambale
His truck was used to carry cargo during the war.,Emmotoka ye yakozesebwa okwetikka ebintu mu lutalo.,kambale
Government has funded several projects.,Gavumenti ettadde ssente mu pulojekiti nnyingi.,kambale
Candidates should follow specific rules and regulations.,Waliwo obulagirizi n'amateeka abeesimbyewo bye balina okugoberera.,kambale
They helped in the improvement of sanitation in refugee camps.,Bayambako mu kulongoosa omutindo gw'obuyonjo mu nkambi z'abanoonyiboobubudamu.,kambale
The Ministry of Health issued coronavirus self-quarantine guidelines.,Minisitule y'ebyobulamu yayisizza ennambika ku kweyawula kw'akawuka ka kolona.,kambale
To avoid going to court one needs to avoid committing crimes.,Okwewala okugenda mu kkooti omuntu yeetaaga okwewala okuzza emisango.,kambale
Students were taught about culture.,Abayizi baasomesebwa ku byobuwangwa.,kambale
People in urban areas have been heavily affected by the pandemic.,Abantu b'omu bibuga bakoseddwa nnyo ekirwadde bbunansi.,kambale
I need to learn how to bake cakes and bread.,Neetaaga okuyiga bwe bafumba kkeeki n'omugaati.,kambale
She is excited about her wedding.,Musanyufu nnyo olw'embagga ye.,kambale
In what units is electricity measured?,Amasannyalaze gapimibwa mu bigero ki?,kambale
The church leaders served the congregation so well.,Abakulembeze b'ekkanisa baagabudde bulungi abaakungaana.,kambale
There is a huge communication gap between the two parties.,Waliwo obutakwatagana bungi mu by'empuliziganya wakati we'njuyi zombi.,kambale
Women's participation in politics helps to advance gender equality.,Abakyala okwetaba mu by'obufuzi kiyambako okwongeza ku mwenkanonkano.,kambale
He was arrested for forging false academic documents.,Yakwatibwa olw'okujingirira empapula z'obuyigirize.,kambale
People sell goods to get money.,Abantu batunda eby'amaguzi okufuna ssente.,kambale
He blamed the article editors.,Yanenya abakungaanya b'eggulire eryo.,kambale
The new power station will generate a lot of electricity for the country.,Ekkolero ly'amasannyalaze eppya lijja kuvaamu amasannyalaze mangi agajja okukozesebwa mu ggwanga.,kambale
There are very many bean diseased plants in this area.,Waliwo ebijanjaalo bingi nnyo ebikwatiddwa obulwadde mu kitundu kino.,kambale
Human activities have discouraged the movement of water through these wetlands.,Emirimu egikolebwa abantu gikugidde entambula y'amazzi mu ntobazi zino.,kambale
The sky is far above the earth.,Obwengula buli wala nnyo okuva ku nsi.,kambale
Her baby has been discharged.,Omwana we baamusiibudde okuva mu ddwaliro.,kambale
People harvest coffee with their hands.,Abantu banoga emmwanyi nga bakozesa mikono gyabwe.,kambale
Who placed these logs of wood on the kitchen door?,Ani yatadde ebiti bino ku luggi lw'efumbiro?,kambale
Men must work hard to support their families financially.,Abaami balina okukola ennyo okuyimirizaawo amaka gaabwe mu by'enfuna.,kambale
The youths in school should be acknowledged about their health-related issues.,Abavubuka abali mu masomero balina okumanyisibwa ku nsonga ezikwata ku bulamu bwabwe.,kambale
Twenty percent of candidates for parliament were facing criminal charges.,Abeesimbawo ku bubaka wab Paalamenti baali bavunaanibwa emisango.,kambale
It is not easy for pregnant women to walk to hospitals.,Si kyangu abakazi abali embuto okutambula okugenda mu ddwaliro.,kambale
The disabled can succeed in life.,Abalina obulemu basobola okutuuka ku buwanguzi mu bulamu.,kambale
Uganda lacks sports facilities.,Uganda terina bintu ebyeyambisibwa mu mizannyo.,kambale
If you cannot use a natural oil choose the lightest oil possible.,Bw'oba tosobola kufuna woyiro atali mukolerere gezaako okufuna atali mukolerere nnyo.,kambale
A lot of goods and buildings were destroyed during the rioting.,Ebyamaguzi n'ebizimbe bingi byayonooneddwa mu kwekalakaasa.,kambale
There are other products available on the market.,Waliwo ebyamaguzi ebirala ebiri ku katale.,kambale
What has befallen our Members of Parliament?,Kiki ekituuse ku babaka baffe aba paliyamenti?,kambale
The treaty was signed by President Yoweri Museveni and his counterparts.,Omukago gwateekebwako omukono Pulezidenti Yoweri Museveni ne bakulembeze banne.,kambale
My father died during heart surgery.,Taata wange yafa bamulongoosa mutima.,kambale
The women in our village apply beauty products.,Abakazi mu kyalo kyaffe beekolako.,kambale
We believe that the pandemic will at one time cease to exist in the community.,Tukikkiriza nti olumu ekirwadde kijja kuvaawo mu bantu.,kambale
Police requested the family to vacate the land as early as possible.,Poliisi yasabye famire eve ku ttaka mu bwangu ddala.,kambale
Funds have been raised to support the refugee camp.,Obuyambi bukungaanyiziddwa okuyamba enkambi y'abanoonyiboobubudamu.,kambale
Some politicians do not care about the well-being of their voters.,Bannabyabufuzi abamu tebafaayo ku mbeera z'abalonzi baabwe.,kambale
There is inequality of wealth and income in poor communities,Waliwo obutali bwenkanya mu byobugagga ne ssente mu bitundu omuli abantu abaavu.,kambale
The prices of things go up during the festive season.,Emiwendo gy'ebintu girinnya mu biseera by'ebikujjuko.,kambale
It is now simple and easy to register a business.,Kati kyangu okuwandiisa bizineesi.,kambale
He asked the government to at least take a few metres of the land.,Yasaba gavumenti waakiri ettwaleko mmita ntono ku ttaka.,kambale
My sister was the best candidate in the entire district last year.,Muganda wange ye muyizi eyasinga mu disitulikiti yonna omwaka oguwedde.,kambale
How sustainability programs create value?,Pulogulamu eziyamba mu buwangaazi zikolawo enjawulo?,kambale
Do not rush to make decisions.,Topapa kukola kusalawo.,kambale
Many children have to walk to and from school.,Abaana bangi batambuza bigere okugenda n'okuva ku ssomero.,kambale
The class monitor has pinned the sweeping Rota.,Monita w'ekibiina atimbye olukalala lw'abeera.,kambale
She was arrested as she tried to cross the border to Kenya.,Yakwatibwa bwe yali agezaako okusala ensalo okugenda e Kenya.,kambale
The Police post in kawempe closes after one arrested person was found with coronavirus.,Poliisi y'e Kawempe eggaddwawo oluvannyuma lw'omu ku bakwate okuzuulibwa n'akawuka ka ssennyiga kolona.,kambale
There is a high theft rate of cars.,Obubbi bw'emmotokka bweyongedde nnyo.,kambale
My teachers used to say that we have to become problem solvers.,Abasomesa bange baagambanga nti tulina okuba abantu abasobola okugonjoola ebizibu.,kambale
Most butchers have their own customers to whom they sell their meat.,Bbukya ezisinga zirina abaguzi baazo be ziguza ennyama yaazo.,kambale
He wants to establish good governance in the area.,Ayagala kussaawo obukulembeze.,kambale
The list of the candidates and the votes they got was pinned up on the school notice board.,Olukalala lw'abeesimbyewo n'obululu bwe baafunye byatimbiddwa we batimba ebiwandiiko ku ssomero.,kambale
His father has a dairy shop.,Taata we alina edduuka eritunda amata.,kambale
We are ready to set off.,Tuli beetegefu okusimbula.,kambale
International Organizations often come out to donate food to refugees,Ebitongole by'ensi yonna bitera okuvaayo ne biwa emmere abanoonyiboobubudamu.,kambale
The findings give clues to potential weak points in the pathway.,Ebyazuulwa biraga awayinza okuba ebituli mu kaweefube ono.,kambale
Teaching has always been a passion.,Abaddenga ayagala nnyo okusomesa.,kambale
What do you know about the Ebola disease?,Ki ky'omanyi ku bulwadde bwa Ebola?,kambale
The district task force didn't have enough funds to train all health workers.,Akakiiko ka disitulikiti akadduukirize tekaalina buyambi bumala okutendeka abasawo bonna.,kambale
Cholera is a disease caused by poor sanitation.,Kolera bulwadde obuleetebwa bukyafu.,kambale
Why do we need budgets?,Lwaki twetaaga embalirira?,kambale
The district should ensure that the ambulances serve their rightful purpose.,Disitulikiti erina okukakasa nti emmotoka ezitambuza abalwadde zikola omulimu gwazo omutuufu.,kambale
Food is a basic need for a man.,Emmere kyetaago ky'omuntu mu bulamu obwa bulijjo.,kambale
I wish you had told me about your visit earlier.,Singa wali ongambyeko nga bukyali nti ojja kunkyalira.,kambale
They do not know what they are supposed to do.,Tebamanyi kye basaanidde kukola.,kambale
Several countries around the world have banned gambling.,Amawanga agawera okwetooloola ensi gaweze okusiba ku mizannyo.,kambale
Police informed people to desist from any acts of criminality in this festive season.,Poliisi yategeeza abantu okwewala ebikolwa ebimenya amateeka mu kiseera kino eky'ebikujjukko.,kambale
He resides in that university.,Abeera mu Yunivasite eyo.,kambale
The meeting was cancelled because the speaker was sick.,Olukiiko lwasazidwamu kubanga omukubiriza yabadde mulwadde.,kambale
The fisherman was rescued by the police.,Poliisi ye yataasizza abavubi.,kambale
Who is responsible for the lost guns?,Ani avunaanyizibwa ku mmundu ezaabuze?,kambale
The point here is that one’s origin is not permanently established.,Ensonga eri nti ekyo omuntu ky'ali tekiba kya lubeerera.,kambale
District officials have laid plans aimed at ensuring rural transformation.,Abakungu ba disitulikiti bakoze enteekateeka eziruubiriddwamu okukyusa ebyalo.,kambale
How can the government increase the cattle population?,Gavumenti eyinza etya okwongera ku bungi bw'ente?,kambale
The finances should be refunded,Ssente zirina okukomezebwawo.,kambale
Women are advised to participate in electoral processes.,Abakyala bakubirizibwa okwetaba mu by'okulonda.,kambale
He arrived at the airport this morning.,Yatuuse ku kisaawe ku maka ga leero.,kambale
Everyone came to help him when the accident occurred.,Bwe yagwa ku kabenje buli omu yajja okumuyamba.,kambale
He is being accused of defrauding Bank of Uganda.,Avunaanibwa gwa kubba Bbanka ya Uganda Enkulu.,kambale
He did the training with a lot of wisdom.,Yayoleka amagezi mangi ng'atendekebwa.,kambale
His first task was to hire new employees to replace the old ones.,Obuvunaanyizibwa bwe bwali bwa kuyingiza bakozi bapya badde mu kifo ky'abakadde.,kambale
There is an improvement of access to antenatal care services for pregnant women.,Waliwo okulongoosa mu kufuna obuweereza bwendabirira y'abakyala abali embuto.,kambale
The discovery left many surprised.,Ekyazuulwa kyayanaamiriza bangi.,kambale
She keeps vomiting after eating.,Asesema buli lw'amala okulya.,kambale
They installed more cameras than they had originally planned.,Bataddewo kamera nnyingi okusinga ze baali bategese okuteekawo mu ntandikwa.,kambale
He is not behaving in a normal way.,Teyeeyisa mu ngeri ya bulijjo.,kambale
Why don't you work from home instead of going to the office?,Lwaki tokolera waka mu kifo ky'okugenda ku woofiisi?,kambale
Health care services enable women to go through pregnancy and childbirth safely.,Ebyobulamu ebirungi biyamba abakyala okuyita obulungi mu biseera nga bali mbuto n'okuzaala obulungi.,kambale
They attach great importance to expressions of personal kindness.,Bakitwala nga kikulu okukola ebikolwa eby'ekisa.,kambale
Despite all these efforts police brutality continues.,Newankubadde bino byonna bikolebwa obukambwe bwa poliisi bukyaliwo.,kambale
Many pilgrims come to Namugongo on martyrs day.,Abalamazi bangi bajja e Namugongo ku lunaku lw'abajulizi.,kambale
The national football team acquired a new head coach ahead of the tournament.,Ttiimu y'omupiira ey'eggwanga effunye omutendesi omupya ng'empaka tezinnatandika.,kambale
The budgeting process commenced.,Enkola y'okubalirira yatandika.,kambale
Many people turned up for the music concert last weekend.,Abantu bangi bazze mu kivvulu ky'ennyimba wiikendi ewedde.,kambale
Leadership determines the status of every society.,Obukulembeze bwe busalawo embeera ya buli kitundu .,kambale
She presented a report on the opposition leader's failed attempt at the presidency.,Yawa alipoota ekwata ku ngeri ab'oludda oluvuganya gye balemereddwamu mu lwokaano lw'abo abaagala okuba bapulezidenti.,kambale
Everyone is supposed to pay taxes.,Buli omu alina okusasula omusolo.,kambale
Tribe-based voting denies the electorate responsible leaders.,Okulonda okwesigamiziddwa ku mawanga kulemesa okulonda abakulembeze abalungi.,kambale
Young children need to always keep their minds fresh.,Abaana abato buli kiseera beetaaga okuwagala obwongo bwabwe.,kambale
The number of coronavirus patients in Uganda is rising at a fast rate.,Omuwendo gw'abalwadde ba corona mu Uganda gulinnya ku sipiidi nnene.,kambale
Each party bears its costs when you settle the case at mediation,Buli ludda lukola ku misoso gyalwo bwe mumalira omusango mu kuteesaganya.,kambale
They discovered that the banker was Ugandan.,Baakizuula nti omukozi wa bbanka yali munnayuganda.,kambale
There is a lot of advice about farming that can be got from cooperatives.,Waliwo amagezi mangi ku byobulimi agasobola okufunibwa okuva mu bibiina by'obwegassi.,kambale
My salary is too low to sustain me.,Omusaala gwange mutono nnyo okunnyimirizaawo.,kambale
Women interested in participating in the fashion show should register with the woman leader.,Abakyala abaagala okwetaba mu mwolese gw'emisono bateekeddwa okwewandiisa n'omukulembeze w'abakyala.,kambale
People have been advised to stop taking bribes.,Abantu baweereddwa amagezi okukomya okulya enguzi.,kambale
His property was taken because he failed to clear the loan balance.,Ebintu bye byatwalibwa kubanga yalemererwa okumalayo ebbanja lye yeewola.,kambale
A two-storey building collapsed in Kampala yesterday.,Ekizimbe kya myaliriro ebiri kyagudde mu Kampala jjo.,kambale
Power has been provided for the West Nile region.,Amasannyalaze gatuusiddwa mu bitundu by'e West Nile.,kambale
Are you a worship team leader?,Oli mukulembeze w'abatendereza?,kambale
Some children are mentally tortured because of their parents' divorce.,Abaana abamu bayisibwa bubi nnyo bazadde baabwe bwe baggattululwa mu bufumbo.,kambale
The businessman was sacrificing people for wealth.,Omusuubuzi yali asadaaka abantu afune obugagga.,kambale
He put the bag carefully in his hut.,Ensawo yagissa mu kasiisira ke n'obwegendereza.,kambale
How did the meal taste?,Emmere yawoomye?,kambale
Internal conflicts hinder unity and growth.,Entalo ez'omunda ziremesa obumu n'enkulaakulana.,kambale
Parents need to spare time for their children during the school holidays.,Abazadde balina okufiisizaawo abaana baabwe akadde mu biseera by'oluwummula.,kambale
Coronavirus infections were most common in urban areas.,Ekirwadde kya korona kyasinga kuba mu bitundu by'omu bibuga.,kambale
He is too weak to fight anyone.,Talina maanyi ga kulwana na muntu yenna.,kambale
The photocopier that I bought recently is a duplicate.,Ekyuma ekyokeesaamu empapula kye nnagula gye buvuddeko awo kikyupuli.,kambale
The deadline for applying for the scholarship program is today.,Leero ye nsalesale y'okwewandiisa okufuna sikaala.,kambale
Access to nutritious food is limited.,Okufuna emmere erimu ebiriisa kizibu.,kambale
The district organised meetings to solve the disputes among the people.,Disitulikiti yategeka enkiiko okumalawo obutakkaanya mu bantu.,kambale
The lion is a fierce animal.,Empologoma nsolo nkambwe nnyo.,kambale
Many children have minor eye problems.,Baana bangi balina obizibu by'amaaso obitonotono.,kambale
Some people think that coronavirus is just a rumor spread by the government.,Abantu abamu balowooza nti ekirwadde kya corona mboozi buboozi ebunyisibwa gavumenti.,kambale
They violated the company rules.,Baamenya amateeka ga kampuni.,kambale
Everyone has their problems to solve.,Buli omu alina ebizibu bye eby'okukolako.,kambale
She accidentally knocked her head on the wall.,Mu butanwa yakoona omutwe gwe ku kisenge.,kambale
Businessmen want to venture into profitable businesses.,Bannabyabusuubuzi baagala okwenyigira mu bizineesi ezirimu amagoba.,kambale
Churches and supermarkets will have to follow the new law.,Amakanisa ne zissemaduuka zirina okugoberera amateeka amapya.,kambale
Some politicians do not keep the promises they make during campaigns.,Bannabyabufuzi abamu tebatuukiriza bisuubozo bye baba bakoze nga banoonya akalulu.,kambale
A new cabinet was appointed today.,Akakiiko akapya kaalondeddwa leero.,kambale
The president promoted five hundred army officers.,Pulezidenti yakuza abajaasi bitaano.,kambale
The media council is in the process of sending its team to Addis Ababa Ethiopia.,Olukiiko lwa bannamawulire luli mu nteekateeka ya kuweereza tiimu mu Addis Ababa mu Ethiopia.,kambale
People lose lives every day.,Abantu bafa buli lunaku.,kambale
He was arrested for not wearing a mask.,Yakwatibwa olw'obutayambala masiki.,kambale
Wars in Uganda Rwanda and the Democratic Republic of Congo were commanded by Museveni and his lieutenant Kagame.,Entalo mu Uganda Rwanda ne Democratic Republic of Congo zaaduumirwanga Museveni ne loteenaanti we Kagame.,kambale
He cautioned policemen against receiving bribes.,Yalabula abapoliisi okwewala okulya enguzi.,kambale
Some areas fail to develop due to corrupt and bad leaders.,Ebitundu ebimu biremwa okukulaakulana olw'abakulembeze abalya enguzi n'ababi.,kambale
Different means are being used by authorities to educate communities about agriculture.,Engeri ez'enjawulo zikozesebwa aboobuyinza okusomesa abantu ku byobulimi.,kambale
The head of state has gone for a foreign visit.,Omukulembeze w'eggwanga afulumye ebweru w'eggwanga.,kambale
The blame game never solves anything.,Okunenyagana tekigonjoola kintu kyonna.,kambale
Partnerships with other countries were established to increase health supplies,Emikago n'amawanga amalala gyateekebwawo okwongera ku kubunyisa ebyetaagisa mu byobulamu.,kambale
Many whites have learnt how to play our traditional musical instruments.,Abeeru bangi bayize okuzannya ebivuga byaffe binnansangwa eby'enjawulo.,kambale
He got the full details of the story from one of the eyewitnesses.,Yafuna kalonda yenna ku oyo eyaliwo nga bibaawo.,kambale
Christian missionaries converted many people from paganism and Islam into Christianity.,Abaminsani Abakristaayo baakyusa abantu bangi ne bava mu madiini g'ekinnansi ne mu Busiraamu ne bayingira Obukristaayo.,kambale
He volunteered to chair the meeting.,Yeewaddeyo okukubiriza olukungaana.,kambale
An insect has fallen into my eye.,Waliwo akawuka akagudde mu liiso lyange.,kambale
The team played against its local rivals.,Ttiimu yazaannya ne zinnaazo ku kyalo bwe ziri ku mbiranye.,kambale
The Ministry of Health received donations from several organizations in the fight against coronavirus.,Ekitongole ky'eby'obulamu kyatonerwa ebintu bingi okuva mu bibiina ebitali bimu okusobola okulwanyisa ekirwadde kya korona.,kambale
A balanced diet isn't something for only the rich but is a fundamental right.,Emmere erimu ebirungo byonna si kintu eky'abagagga bokka wabula ddembe lya buli omu.,kambale
The national budget is prepared by the ministry of finance.,Embalirira ya Uganda etegekebwa kitongole ky'eby'ensimbi.,kambale
She converted many people to Christianity.,Yaleetera abantu bangi okufuuka Abakristaayo.,kambale
Again she answered with a weighty caution,Era yamwanukula ng'abuusabuusa.,kambale
I have seven children and all of them go to school for free.,Nnina abaana musanvu era bonna basomera bwereere.,kambale
The government should listen to business owners to help reduce poverty levels.,Gavumenti erina okuwuliriza bananyini bizinesi kiyambeko okukendezza obwavu.,kambale
Looting of any kind is forbidden during demonstrations.,Okunyaga ebintu ebya buli ngeri tekikkirizibwa mu kwekalakaasa.,kambale
The spread of coronavirus disease has been low this week.,Ensaasaanya y'akawuka ka ssenyigga omukambwe ebadde ntono mu ssabbiiti eno.,kambale
What is the right thing to do?,Kiki ekituufu okukola?,kambale
Bamburi Cement has built diverse ecosystems of forests grasslands and wetland habitats.,Bamburi Cement ezimbye obulamu bw'ebibeera mu bibira ensiko n'entobazi.,kambale
Our new stock of clothes will arrive tomorrow.,Engoye zaffe empya zituuka nkya.,kambale
Did you apologize to your mother?,Maama wo wamwetondedde?,kambale
The driver was arrested thirty hours later.,Dereeva yakwatiddwa nga wayise essaawa amakumi asatu.,kambale
I want to know what it takes to be an engineer?,Njagala okumanya ki ekyetaagisa okufuuka yinginiya?,kambale
He is suspected to have stolen money from the government.,Ateeberezebwa okuba nga yabba ssente mu gavumenti.,kambale
We shook hands with him.,Twekwata mu ngalo naye.,kambale
She came here with several other children.,Yazze wano ng'alina abaana abalala abawerako.,kambale
Her in-laws are dangerous people.,Ab'enganda za bba si bantu bangu.,kambale
People were very violent.,Abantu baali batabuse.,kambale
Who is setting the primary two exams?,Ani agenda okuwandiika ebibuuzo bya pulayimale ey'okubiri.,kambale
The government managed to procure some coronavirus vaccines.,Gavumenti yasobola okufunako ku ddagala erigema ekirwadde kya korona.,kambale
The favorite way offloading houses built through mortgage financing is now popular.,Engeri esingayo okweggyako amayumba agazimbiddwa ku nkola ey'okufuna ebbanja.,kambale
Take those chemicals to the laboratory.,Twala eddagala eryo mu kkeberero.,kambale
Delegates from other countries are always welcome.,Abakungu okuva mu nsi endala lubeerera baanirizibwa.,kambale
Believers make pilgrims an act of righteousness.,Abakkiriza balamaga okusobola okwoleka obutuukirivu bwabwe.,kambale
Her mother is a very tough woman.,Maama we mukazi mukambye nnyo.,kambale
The students are scared of examinations.,Abayizi batidde ebigezo.,kambale
She won a gold medal during last year's sports competition.,Yawangula omudaali gwa zzaabu mu mpaka z'omwaka oguwedde.,kambale
The parent requested the headteacher to change their minds.,Abazadde baasaba omukulu w'essomero okukyusa endowooza ye.,kambale
The district lacks a standing laboratory to cross-examine yellow fever samples.,Disitulikiti teyina kkeberero liri ku mutindo okwekebejja sampolo z'omusujja gw'enkaka.,kambale
Measles is a contagious viral disease.,Obulwadde bwa mulangira bukwata okuva ku muntu ate ne busaasaana mangu.,kambale
My mother told me that sharing is caring.,Maama wange yangamba nti okugaba kiraga nti ofaayo ku balala.,kambale
Nine held over the murder of Uganda People's Defense Force soldier in Jinja.,Abantu mwenda be baakwatibwa ku kuttibwa kw'omusirikale w'eggye lya Uganda mu Jinja.,kambale
He applied to work at the university.,Yasaba okukolera ku ssetendekero.,kambale
Some diseases need people to be very careful to survive them.,Eddwadde ezimu zeetaga abantu okubeera abeegendereza ennyo okuzisimattuka.,kambale
They decided to take his injury seriously regardless of what it looked like.,Baasazeewo okutwala obuvune bwe nga nsonga nga tebafudde ku ngeri gye bufaananamu.,kambale
The Association is doing this through initiatives like the Netherlands Trust Fund four Programme.,Ekitongole kikola kino okuyita mu nteekateeka nga Netherlands Trust Fund four Programme.,kambale
People who were moving during curfew hours were brutally beaten by police officers.,Abantu abaatambulanga mu budde bwa kafyu baakubibwanga bubi nnyo abapoliisi.,kambale
Organizations have to work together during project implementation.,Ebitongole birina okukolera awamu mu kuteekesa pulojekiti mu nkola.,kambale
He said in a letter that Bemanya be replaced with another administrator,Yagambye mu bbaluwa nti Bemanya asikizibwe n'omukulembeze omulala.,kambale
Immunisation is important to prevent the killer diseases.,Okugema kwa mugaso okutangira endwadde zi nnamutta.,kambale
The member of parliament initiated the groups in that region.,Omubaka wa  paalamenti yatandikawo ebibiina mu kitundu ekyo.,kambale
She always greets customers with a smile.,Bulijjo bakasitoma ababuuza ataddeko akamwenyumwenyu.,kambale
Agriculture has contributed to the growth of Uganda's national economy.,Eby'obulimi n'obulunzi bye bimu ku ebyo ebitumbudde eby'enfuna bya Uganda.,kambale
Why do African presidents rule till old age?,Lwaki abakulembeze ba Africa bafuga mpaka ku myaka emikadde?,kambale
The people do not have hope in the leadership at the district.,Abantu tebakyalina ssuubi mu bukulembeze ku disitulikiti.,kambale
Police protected him from the angry mob.,Poliisi yamutaasa okuva ku bantu abaali bataamye obugo.,kambale
The rebels attacked the community.,Abayeekera baalumbye ekitundu.,kambale
The prices of fuel may keep increasing.,Emiwendo gy'ebbeeyi y'amafuta giyinza okusigala nga gyeyongera.,kambale
Parents should encourage their children to study.,Abazadde balina okukubiriza abaana baabwe okusoma,kambale
Why do you think men mistreat their wives?,Olowooza lwaki abasajja bayisa bubi bakazi baabwe?,kambale
The soldier will be brought before the unit disciplinary committee.,Omuserikale ajja kusimbibwa mu maaso g'akakiiko akakwasisa empisa.,kambale
The deceased was taken for a postmortem.,Omulambo gwatwalibwa okukeberebwa.,kambale
The laboratory lacks testing equipment.,Ekkeberero teririna bikebera.,kambale
Do not cut down the tree that gives you shade.,Totema miti egikuyamba okuba n'ekisiikirize.,kambale
I rarely visit my friends.,Sitera kukyalira mikwano gyange.,kambale
Most of the people who were invited to the wedding have confirmed their attendance.,Abantu abasinga obungi abaayitibwa ku mbaga baakakasizza nti bajja kujja.,kambale
Nambooze accused the media of bringing friction in the Democratic Party.,Nambooze yanenya emikutu gy'empuliziganya nti gye gyali gireeseewo obukuubagano mu DP.,kambale
Despite its benefits the tracking system is a risky venture.,Wadde ng'erina emigaso enkola eyo ey'okulondoola eyinza okuvaamu obuzibu.,kambale
Hydraulic pilings stabilize it in rough waters.,Empeke za Hydraulic zigitebenkeza mu mazzi amazibu wamu n'okugimazaako category four Hurricane.,kambale
Foods rich in proteins are good for body growth and are essential in a balanced diet.,Emmere ezimba omubiri nnungi mu kukula kw'omubiri era ya nkizo mu mmeere erimu ebirungo byonna.,kambale
We should not be selfish.,Tetulina kweyagaliza ffeka.,kambale
He interfered with the rights of the public.,Yayingirira eddembe ly'abantu.,kambale
Malaria in pregnant women can cause miscarriages.,Omusujja gw'ensiri gusobola okuviirako abakazi okuvaamu embuto.,kambale
People need water extension services.,Abantu beetaaga okwongezebwa mu buweereza bw'amazzi.,kambale
My husband gives me money every Saturday to buy home foodstuffs.,Buli lwa Mukaaga omwami wange ampa ssente ez'okugula emmere y'awaka.,kambale
It was prohibited for women to wear trousers in the old days.,Edda abakazi baali tebakkirizibwa kwambala mpale.,kambale
Power from voters is shifted at the grassroots to political party bosses.,Amaanyi g'abalonzi gaakyusibwa okuva wansi okudda ku bakulira ebibiina by'ebyobufuzi.,kambale
The society will pray for the deceased for three days.,Abantu bajja kusabira omugenzi okumala ennaku ssatu.,kambale
He wanted to understand their problems,Yayagadde okutegeera ebizibu byabwe.,kambale
The media gave them fair coverage.,Emikutu gy'empuliziganya gyabawa akakisa kyenkanyi.,kambale
As a Christian be mindful of your behaviour on earth.,Nga omukulisitu wegendereze enneyisa yo ku nsi .,kambale
Donations are essential for the smooth running of orphanages.,Obugabi bwetaagisa okusobola okuddukanya obulungi ebifo awakuumibwa bamulekwa.,kambale
Residents requested for enough time to travel back home.,Abatuuze baasabye obudde obumala okudda ewaka.,kambale
